location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory
LOC-201,Curug Batu Templek,-6.8716298,107.6845318,5000,30000,Per Orang,Wisata Alam,Daya tarik alam
LOC-202,Curug Cilengkrang,-6.8906,107.7308,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-203,Masjid Raya Al-Jabbar,-6.9480938,107.703504,0,0,Gratis,Tempat Ibadah,Tempat ibadah
LOC-204,Teras Sunda Cibiru,-6.9274019,107.71135,0,0,Gratis,Tempat Budaya,Pusat budaya Sunda
LOC-205,Lapangan Gasibu,-6.9013276,107.6201481,0,0,Gratis,Taman Kota,Ruang publik
LOC-206,Monumen Perjuangan Rakyat Jawa Barat,-6.8934346,107.6185412,2000,3000,Per Orang,Tempat Sejarah,Situs sejarah
LOC-207,Monumen Bandung Lautan Api,-6.960281,107.6153415,0,0,Gratis,Tempat Sejarah,Situs sejarah
LOC-208,Museum Kota Bandung,-6.910008,107.6095212,0,0,Gratis,Tempat Belajar,Tempat edukasi
LOC-209,Museum Mandala Wangsit Siliwangi,-6.9173055,107.6111041,0,0,Gratis,Tempat Belajar,Tempat edukasi
LOC-210,Taman Sejarah Bandung,-6.910367,107.6103563,30000,30000,Per Orang,Tempat Sejarah,Taman sejarah
LOC-211,Taman Vanda,-6.9140617,107.6100689,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-212,Taman Maluku,-6.9093784,107.6151634,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-213,Taman Cibeunying,-6.9052183,107.6244498,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-214,Taman Panatayuda,-6.8979724,107.6157428,10000,10000,Per Orang,Taman Kota,Ruang publik kota
LOC-215,Taman Pramuka Bandung,-6.9101779,107.626927,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-216,Panama Park 825,-6.9119342,107.5695,80000,100000,Per Orang,Rekreasi Keluarga,Taman rekreasi indoor
LOC-217,Karang Setra Waterland,-6.8787208,107.5949619,45000,50000,Per Orang,Wahana Air,Waterland
LOC-218,Gedung Indonesia Menggugat,-6.9133816,107.6079413,0,0,Gratis,Tempat Sejarah,Gedung bersejarah
LOC-219,Museum Inggit Garnasih,-6.9314629,107.6024885,0,0,Gratis,Tempat Belajar,Tempat edukasi
LOC-220,Nimo Jungle Hot Spring,-7.1799165,107.4957924,40000,50000,Per Orang,Wisata Alam,Air panas alami
