_excel_row,penginapan_id,name,property_type,overall_rating,reviews,p2_sentiment_policy_status,exact_google_maps_url,url_status
71,LODGE-00541,Regan Luxcamp by Digihub Hospitality,vacation_rental,4.2,7.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Regan+Luxcamp+by+Digihub+Hospitality+-7.1844%2C107.5469&query_place_id=ChIJ27ta22aRaC4R8agG-zF9c9k,valid_google_maps_like
72,LODGE-01138,"Jardin A22, City View, Netflix & WIFI",vacation_rental,4.4,4.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Jardin+A22%2C+City+View%2C+Netflix+%26+WIFI+-6.8923%2C107.6049&query_place_id=ChIJiSFHX1nmaC4RNXguzbYLXxc,valid_google_maps_like
73,LODGE-01110,Bandung Scenic View W Pool,vacation_rental,4.85,3.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Bandung+Scenic+View+W+Pool+-6.8833%2C107.5812&query_place_id=ChIJd_pUoYbmaC4Rcsc8lqH4Dgs,valid_google_maps_like
74,LODGE-01168,Rarasa by Kozystay - Bandung,vacation_rental,4.0,3.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Rarasa+by+Kozystay+-+Bandung+-6.8697%2C107.6408&query_place_id=ChIJa0ssbRTnaC4RrilzEer2RXM,valid_google_maps_like
75,LODGE-00049,Twelve Stones at Wahoo KBP,vacation_rental,4.65,3.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Twelve+Stones+at+Wahoo+KBP+-6.8692%2C107.4562&query_place_id=ChIJAeYt0UH7aC4RlZijI2cndME,valid_google_maps_like
76,LODGE-01125,Delio by Kozystay - Bandung,vacation_rental,3.5,2.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Delio+by+Kozystay+-+Bandung+-6.9178%2C107.5813&query_place_id=ChIJNTnrQA_maC4R9WLZ4Vlble8,valid_google_maps_like
77,LODGE-01116,Cairora by Kozystay - Bandung,vacation_rental,4.5,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Cairora+by+Kozystay+-+Bandung+-6.9093%2C107.6102&query_place_id=ChIJiT3AjjfmaC4RwWhZcuDmwPI,valid_google_maps_like
78,LODGE-01146,Lee Simple House - Summarecon Bandung,vacation_rental,3.0,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Lee+Simple+House+-+Summarecon+Bandung+-6.9619%2C107.6969&query_place_id=ChIJKcuCbPTCaC4ROjnhKpnFKDo,valid_google_maps_like
79,LODGE-00069,"Manna Tatami House KBP Bandung near Wahoo, Whoosh & Parahyangan Golf",vacation_rental,5.0,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Manna+Tatami+House+KBP+Bandung+near+Wahoo%2C+Whoosh+%26+Parahyangan+Golf+-6.8689%2C107.4568&query_place_id=ChIJFWIJxUH7aC4ROKkYZXVhuak,valid_google_maps_like
80,LODGE-00588,Shakilla House 6B Syariah Cigalumpit Cianjur,vacation_rental,4.85,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Shakilla+House+6B+Blok+J-02+Syariah+Cigalumpit+Cianjur+-6.8162%2C107.1714&query_place_id=ChIJczfAUAtTaC4RD-w94xiWR8o,valid_google_maps_like
81,LODGE-01190,Tanea by Kozystay - Braga,vacation_rental,4.5,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Tanea+by+Kozystay+-+Braga+-6.9167%2C107.6078&query_place_id=ChIJ30wCwjrmaC4RfSf7_muNeB4,valid_google_maps_like
82,LODGE-00077,"Wasabi House, Kota Baru Parahyangan",vacation_rental,5.0,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Wasabi+House%2C+Kota+Baru+Parahyangan+-6.8667%2C107.4572&query_place_id=ChIJT0LVGEL7aC4RKGcP9fYmlH8,valid_google_maps_like
