penginapan_id,name,property_type,property_type_final,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,listing_policy_action,manual_decision,manual_note,ranking_tier_after_p1,primary_ranking_allowed_after_p1,secondary_ranking_allowed_after_p1,drop_from_dataset_after_p1,manual_validation_needed_after_p1,manual_validation_topic_after_p1
LODGE-01011,RedDoorz near Simpang Dago 2,hotel,hotel,-6.8853,107.6163,kota_bandung,4.6,366.0,226879.0,Rp 226.879,1.0,high,19,0.6680967201676307,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01013,RedDoorz near Telkom Corporate University,hotel,hotel,-6.8724,107.5903,kota_bandung,2.9,385.0,108694.0,Rp 108.694,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01015,RedDoorz near Upi Sersan Bajuri Bandung,hotel,hotel,-6.8556,107.592,kota_bandung,4.2,169.0,163129.0,Rp 163.129,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01019,Reddoorz Syariah @ Gatot Subroto Street Bandung 4,hotel,hotel,-6.9241,107.6266,kota_bandung,3.0,31.0,111822.0,Rp 111.822,1.0,high,20,0.3753662789851392,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01020,Rehat at Hotel 10 Buah Batu,hotel,hotel,-6.9342,107.6204,kota_bandung,4.2,275.0,169476.0,Rp 169.476,1.0,high,21,0.5699707610164269,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01021,Rizh Hotel,hotel,hotel,-6.9283,107.6202,kota_bandung,4.5,203.0,176904.0,Rp 176.904,1.0,high,22,0.6850516813427193,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01022,Roemah Asri Villa - Resor Dago Pakar,villa,villa,-6.8677,107.6465,kota_bandung,4.585,35.0,1563244.0,Rp 1.563.244,1.0,high,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01024,Rooms Inc BTC Pasteur,hotel,hotel,-6.8932,107.5851,kota_bandung,4.5,2469.0,444920.0,Rp 444.920,1.0,high,19,0.6772273804336074,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01025,Rossan Villa Hotel near Kampus UPI Setiabudhi,villa,villa,-6.8498,107.5907,kota_bandung,3.9,110.0,140041.0,Rp 140.041,1.0,high,19,0.4560735820766806,Positif,high_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01026,Rumah Asri Bed & Breakfast,guest_house,guest_house,-6.8749,107.5855,kota_bandung,4.5,320.0,287040.0,Rp 287.040,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
