review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-0578,LODGE-01381,Nata Villa Syariah close to Telkom,villa,low_review_confidence,low_review_confidence,"Nata Villa Syariah close to Telkom -7.0024,107.6523",https://www.google.com/maps/search/?api=1&query=Nata%20Villa%20Syariah%20close%20to%20Telkom%20-7.0024%2C107.6523
PHREV-20260605-0676,LODGE-01635,Nuansa Villa S-09A,villa,low_review_confidence,low_review_confidence,"Nuansa Villa S-09A -6.8214,107.5888",https://www.google.com/maps/search/?api=1&query=Nuansa%20Villa%20S-09A%20-6.8214%2C107.5888
PHREV-20260605-1192,LODGE-00312,Nyaman Wangi Villa Kota Baru Parahyangan,villa,missing_rating_or_review,missing_review_confidence,"Nyaman Wangi Villa Kota Baru Parahyangan -6.8695,107.453",https://www.google.com/maps/search/?api=1&query=Nyaman%20Wangi%20Villa%20Kota%20Baru%20Parahyangan%20-6.8695%2C107.453
PHREV-20260605-1209,LODGE-00169,Oemaja Villa Spacious Living Room KBP Bandung,villa,missing_rating_or_review,missing_review_confidence,"Oemaja Villa Spacious Living Room KBP Bandung -6.8702,107.4531",https://www.google.com/maps/search/?api=1&query=Oemaja%20Villa%20Spacious%20Living%20Room%20KBP%20Bandung%20-6.8702%2C107.4531
PHREV-20260605-0381,LODGE-00446,Paras Yogya With Private Pool Villa,villa,low_review_confidence,low_review_confidence,"Paras Yogya With Private Pool Villa -6.8770069,107.5676807",https://www.google.com/maps/search/?api=1&query=Paras%20Yogya%20With%20Private%20Pool%20Villa%20-6.8770069%2C107.5676807
PHREV-20260605-1227,LODGE-00171,Perfect villa with city view for family gateaway,villa,missing_rating_or_review,missing_review_confidence,"Perfect villa with city view for family gateaway -6.8485,107.4721",https://www.google.com/maps/search/?api=1&query=Perfect%20villa%20with%20city%20view%20for%20family%20gateaway%20-6.8485%2C107.4721
PHREV-20260605-1228,LODGE-00172,Perfect villa with city view for family gateaway,villa,missing_rating_or_review,missing_review_confidence,"Perfect villa with city view for family gateaway -6.8486,107.4719",https://www.google.com/maps/search/?api=1&query=Perfect%20villa%20with%20city%20view%20for%20family%20gateaway%20-6.8486%2C107.4719
PHREV-20260605-1229,LODGE-00574,Pierdi Villa,villa,missing_rating_or_review,missing_review_confidence,"Pierdi Villa -7.1219,107.4299",https://www.google.com/maps/search/?api=1&query=Pierdi%20Villa%20-7.1219%2C107.4299
PHREV-20260605-0565,LODGE-00977,Platinum Yellow Bandung Villa 24 Pax Private Pool,villa,low_review_confidence,low_review_confidence,"Platinum Yellow Bandung Villa 24 Pax Private Pool -6.8578,107.654",https://www.google.com/maps/search/?api=1&query=Platinum%20Yellow%20Bandung%20Villa%2024%20Pax%20Private%20Pool%20-6.8578%2C107.654
PHREV-20260605-0460,LODGE-00511,Princess Villa,villa,low_review_confidence,low_review_confidence,"Princess Villa -7.0791,107.4549",https://www.google.com/maps/search/?api=1&query=Princess%20Villa%20-7.0791%2C107.4549
