id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,category_official,location_name,address,coordinate,tahun,latitude,longitude
171,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,CAHAYA SPORT,JL. JENDERAL AHMAD YANI NO. 262,"-6.916215794187197, 107.62928961683568",2021,-6.916215794187197,107.62928961683568
172,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,ELIZABETH CIATEUL,JL. IBU INGGIT GARNASIH NO. 15,"-6.93014594131587, 107.60259199537205",2021,-6.93014594131587,107.60259199537205
173,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,VILOUR PROMO INDONESIA,JL. DIPATI UKUR NO. 76A,"-6.88905259768777, 107.61622077448756",2021,-6.88905259768777,107.61622077448756
174,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,RABBANI KOPO,JL. RAYA KOPO NO. 632,"-6.958990728996702, 107.5799984107519",2021,-6.958990728996702,107.5799984107519
175,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,SCREAMOUS SHOPHOUSE,JL. GEUSAN ULUN NO. 01,"-6.904158617952064, 107.61186666876148",2021,-6.904158617952064,107.61186666876148
176,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,WORMHOLE STORE,JL. BAHUREKSA NO. 27,"-6.904489908112416, 107.61611509084689",2021,-6.904489908112416,107.61611509084689
177,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,347 STORE,JL. TRUNOJOYO NO. 4,"-6.905664882299723, 107.61305015736721",2021,-6.905664882299723,107.61305015736721
178,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,RANDOM APPAREL STORE,JL. WASTUKENCANA GG. NANGKASUNI NO. 1,"-6.905030747265724, 107.60714650971683",2021,-6.905030747265724,107.60714650971683
179,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,HOUSE OF SMITH - BANDUNG SULTAN AGUNG,JL. SULTAN AGUNG NO. 27,"-6.90360685810929, 107.61284753691969",2021,-6.90360685810929,107.61284753691969
180,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,INSURGENT CLUB'S FLAGSHIP STORE,JL. SULTAN AGUNG NO. 27,"-6.9037240196200536, 107.61290118130078",2021,-6.9037240196200536,107.61290118130078
181,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,BLJK BLACKJACK STORE,JL. TRUNOJOYO NO. 28,"-6.903737333628094, 107.61331155903618",2021,-6.903737333628094,107.61331155903618
182,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,GEOFF MAX FOOTWEAR,JL. TRUNOJOYO NO. 15,"-6.904605393186797, 107.61297360063118",2021,-6.904605393186797,107.61297360063118
183,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,BLOODS CONCEPT STORE,JL. SULTAN AGUNG,"-6.90459474193543, 107.61189132941658",2021,-6.90459474193543,107.61189132941658
184,32,JAWA BARAT,3273,KOTA BANDUNG,DISTRO,COSMIC CLOTHES,JL. SULTAN AGUNG NO. 7,"-6.9047288782562655, 107.61164356037447",2021,-6.9047288782562655,107.61164356037447
